Categoría: Todas las categorías

Mes,bitcoin: (España)
2015-12,3
2016-01,3
2016-02,2
2016-03,2
2016-04,2
2016-05,4
2016-06,3
2016-07,2
2016-08,3
2016-09,2
2016-10,3
2016-11,2
2016-12,3
2017-01,4
2017-02,3
2017-03,5
2017-04,4
2017-05,12
2017-06,12
2017-07,12
2017-08,17
2017-09,15
2017-10,15
2017-11,28
2017-12,69
2018-01,44
2018-02,32
2018-03,18
2018-04,15
2018-05,12
2018-06,12
2018-07,12
2018-08,11
2018-09,9
2018-10,8
2018-11,13
2018-12,13
2019-01,11
2019-02,11
2019-03,9
2019-04,12
2019-05,20
2019-06,20
2019-07,22
2019-08,22
2019-09,16
2019-10,17
2019-11,15
2019-12,15
2020-01,18
2020-02,21
2020-03,32
2020-04,29
2020-05,34
2020-06,24
2020-07,23
2020-08,31
2020-09,25
2020-10,24
2020-11,40
2020-12,48
2021-01,89
2021-02,100
2021-03,75
2021-04,65
