Categoría: Todas las categorías

Mes,cryptocurrency: (Todo el mundo)
2015-12,<1
2016-01,<1
2016-02,<1
2016-03,1
2016-04,<1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,2
2017-04,3
2017-05,9
2017-06,16
2017-07,13
2017-08,18
2017-09,20
2017-10,18
2017-11,31
2017-12,92
2018-01,100
2018-02,50
2018-03,29
2018-04,23
2018-05,19
2018-06,17
2018-07,14
2018-08,14
2018-09,13
2018-10,12
2018-11,12
2018-12,10
2019-01,9
2019-02,9
2019-03,8
2019-04,9
2019-05,10
2019-06,13
2019-07,10
2019-08,8
2019-09,8
2019-10,7
2019-11,7
2019-12,7
2020-01,8
2020-02,9
2020-03,10
2020-04,9
2020-05,10
2020-06,9
2020-07,10
2020-08,12
2020-09,10
2020-10,8
2020-11,12
2020-12,16
2021-01,34
2021-02,50
2021-03,32
2021-04,57
